Id,Score,Summary
1,5,Good Quality Dog Food
2,1,Not as Advertised
3,4,"""Delight"" says it all"
4,2,Cough Medicine
5,5,Great taffy
6,4,Nice Taffy
7,5,Great!  Just as good as the expensive brands!
8,5,"Wonderful, tasty taffy"
9,5,Yay Barley
10,5,Healthy Dog Food
11,5,The Best Hot Sauce in the World
12,5,"My cats LOVE this ""diet"" food better than their regular food"
13,1,My Cats Are Not Fans of the New Food
14,4,fresh and greasy!
15,5,Strawberry Twizzlers - Yummy
16,5,"Lots of twizzlers, just what you expect."
17,2,poor taste
18,5,Love it!
19,5,GREAT SWEET CANDY!
20,5,Home delivered twizlers
21,5,Always fresh
22,5,TWIZZLERS
23,5,Delicious product!
24,5,Twizzlers
25,5,Please sell these in Mexico!!
26,5,Twizzlers - Strawberry
27,1,Nasty No flavor
28,4,Great Bargain for the Price
29,5,YUMMY!
30,5,The Best Hot Sauce in the World
31,5,Great machine!
32,5,THIS IS MY TASTE...
33,4,Best of the Instant Oatmeals
34,4,Good Instant
35,5,Great Irish oatmeal for those in a hurry!
36,4,satisfying
37,5,Love Gluten Free Oatmeal!!!
38,5,it's oatmeal
39,4,GOOD WAY TO START THE DAY....
40,5,Wife's favorite Breakfast
41,5,Why wouldn't you buy oatmeal from Mcanns? Tastes great!
42,5,Oatmeal For Oatmeal Lovers
43,5,Food-Great
44,5,Good Hot Breakfast
45,5,Great taste and convenience
46,3,Hearty Oatmeal
47,5,good
48,3,Mushy
49,4,Very good but next time I won't order the Variety Pack
50,3,Same stuff
51,1,Don't like it
52,5,HOT!  And good!  Came back for more  :)
53,4,You'll go nuts over Ass-Kickin' Peanuts.
54,3,not ass kickin
55,4,Roasts up a smooth brew
56,5,Our guests love it!
57,5,Awesome Deal!
58,5,How can you go wrong!
59,5,Awsome - Kids in neighborhood loved us!
60,5,great deal.
61,3,Better price for this at Target
62,5,pretty expensive
63,1,stale product.
64,5,Hammer Nutrition 's Fizz Rocks!
65,5,great source of electrolytes
66,5,Great for preventing cramps
67,5,Low Carb Alternative to Gatorade
68,2,Taste is not so good.
69,3,How much would you pay for a bag of chocolate pretzels?
70,5,pretzel haven!
71,5,Great Gummi!
72,5,Bigger then other brands
73,5,Best ever latice tart
74,1,Warning!  WARNING!  -ALCOHOL SUGARS!
75,2,nothing special
76,1,No Tea Flavor
77,5,Good
78,5,Taste great
79,3,Order only in cold weather
80,5,this is the best
81,5,Delicious!
82,4,Great
83,5,Forget Molecular Gastronomy - this stuff rockes a coffee creamer!
84,3,Natural Balance Lamb and Rice
85,3,INCREASED MY DOGS ITCHING
86,5,Great food!
87,5,Great for my dogs allergies
88,5,Great for stomach problems!
89,5,Better life for you dog!
90,5,Great Food
91,5,Great food for my my dog who has a sensitive stomach.
92,5,Great dog food
93,5,Mmmmm  Mmmmm good.
94,5,Great Dog Food!
95,5,So convenient
96,5,Good healthy dog food
97,5,Great dog food
98,5,"Great allergy sensitive dog food, dogs love it"
99,5,Perfect for our English Bulldog with Allergies
100,1,Bad
101,5,Taste wise it is a 6 star item
102,4,Great Support
103,4,TART!
104,5,Omaha Apple Tartlets
105,5,Loved these Tartlets
106,5,The best
107,3,disappointing
108,5,Wasting Vinegar on a Cucumber is a Shame!
109,5,Asparagus Bliss
110,5,My Idea of a Good Diet Food.
111,2,Low Carb Angel Food Puffs
112,5,Delicious tea
113,5,My every day green tea
114,5,the best tea ever... freah bright clean
115,5,Tea review
116,5,Wonderful Tea
117,5,Great cookies
118,5,Best everyday cookie!
119,5,So Far So Good
120,5,Best Cat Food
121,5,Great food.
122,5,Perfect Cat Food For Older Cats!
123,5,Good for Feline UTI
124,5,Palatable and healthy
125,5,Healthy & They LOVE It!
126,5,Wonderful food - perfect for allergic kitties
127,5,Holistic select cat food
128,4,Tastes great. Love Hot & Spicy. Bad price here.
129,5,My favorite ramen
130,3,It burns!
131,5,Amazing to the last bite.
132,2,Not for me
133,5,Great spicy flavor
134,5,Great value and convenient ramen
135,5,great flavor
136,4,"Tastes great, but is cheaper locally."
137,5,Tastes awesome & looks beautiful
138,5,Happy Face
139,5,Simply the BEST!
140,5,Excellent Product/Life Saver
141,4,Nice snack
142,4,Good Licorice
143,5,I love these!!!!!!!!
144,5,Great for the kids!
145,3,Bite sized
146,5,Sweet with a nice kick!
147,2,BROKEN BOTTLE BOTTOMS!
148,5,Love the salsa!!
149,3,Ehhh...
150,5,awesome cornmeal
151,5,GREAT marinade!
152,5,Awesome stuff
153,4,tastes good
154,1,Rip off Price
155,5,JELL-O
156,5,Great flavor of Jell-o.
157,5,Great Deal
158,5,Great tasting sea salt WITH iodine
159,5,tastes very fresh
160,5,Simple but good
161,5,tasty!
162,3,Not the greatest tasting..
163,4,Not Bad
164,5,"Right size, taste"
165,1,Tasteless but low calorie
166,5,This stuff is sooooo good!
167,5,Best Stuff Ever
168,1,Very Low quality
169,1,Not Banana Runts
170,3,Banana Heads Not Banana Runts
171,5,Worked great!
172,5,Ricore forever
173,5,Delicious!
174,5,"Fluffy, Soft, Delicious and Sugary Sweet"
175,4,Great but not as good as it was back in the day as a teen
176,5,EXCELLENT LEMON JUICE
177,5,Great Product
178,5,Handy
179,4,ReaLemon Juice from Amazon.
180,4,"relaxing, almost like something you smoke"
181,4,Never paid that much !
182,5,Marley's Mellow Mood Lite - Half Tea Half Lemonade
183,3,Great product to help you sleep
184,5,Perfect for gluten-free chocolate chip cookies
185,5,Garbonzo  Bean Flour
186,5,yum falafel
187,5,"Make a fresh fruit tart, light and beautiful"
188,5,Miracle
189,4,not bad for instant healthy coffee
190,3,It's ok
191,5,I love it!
192,5,great taste and has health benefits!
193,5,Tastes Great. Arrived in 2 days!
194,5,Great for after lunch
195,4,"Nice little mints, but pricey."
196,5,Altoids mini mints tins
197,5,Altoids Smalls-Wintergreen
198,3,Sugarfree...
199,5,Tasty!!
200,5,These mints are awesome!
201,2,Altoids Smalls
202,5,Love these! And reusable containers
203,5,Altoids
204,4,A huge hit at the office!
205,5,"Love 'em, they're great!"
206,5,Love these!
207,5,fresh!
208,5,Wintergreen Me
209,1,These just don't do it for me as breath mints
210,5,"better than average, more expensive than average."
211,5,My cat loves it!
212,5,Great For Fat Cats and Senior Citizens
213,2,Nearly killed the cats
214,1,CHANGED FORMULA MAKES CATS SICK!!!!
215,4,Best by the case
216,5,Looking for a different flavor?
217,1,Price cannot be correct
218,3,More Hot/Spicy than McCormick's Brand
219,5,Ahmad Loose Imperial Blend Tea is great for the price
220,5,Nice tea
221,5,A fragrant tea
222,5,Best Ahmad Tea
223,5,My favorite tea
224,5,Best tea ever!
225,2,Not a real tea
226,4,DELICIOUS
227,5,Best Bloody Mary mixer
228,5,The Best
229,5,Mcclures bloody Mary mix
230,1,Not Good
231,5,Love this tea!
232,5,Really Nice Taste!
233,5,just give me some watermelon and citron sea salt
234,1,Furniture Polish Taste
235,5,Big tub o' salt
